rule,failure_prob,obj_mean,obj_std,obj_95_I
edd,0.1,294.8235098039216,39.99393953357061,"(np.float64(283.8469772698284), np.float64(305.80004233801475))"
edd,0.2,325.3150588235294,87.15151024334845,"(np.float64(301.3959001025315), np.float64(349.23421754452727))"
edd,0.3,479.7028823529411,179.03394617464556,"(np.float64(430.56613919105456), np.float64(528.8396255148277))"
lpt,0.1,334.16439215686273,82.40419340593739,"(np.float64(311.54815778698435), np.float64(356.7806265267411))"
lpt,0.2,383.7990980392157,148.82671228677398,"(np.float64(342.9528781266546), np.float64(424.64531795177686))"
lpt,0.3,503.67996078431366,165.08236462602065,"(np.float64(458.37229749194057), np.float64(548.9876240766868))"
spt,0.1,294.7290392156863,36.16722794075365,"(np.float64(284.80276641561835), np.float64(304.6553120157543))"
spt,0.2,304.8912352941176,63.05386407813187,"(np.float64(287.58579355655263), np.float64(322.1966770316826))"
spt,0.3,428.01323529411764,121.04815024767429,"(np.float64(394.7909777500689), np.float64(461.23549283816635))"
wspt,0.1,296.4157647058824,36.218161966388216,"(np.float64(286.4755128130821), np.float64(306.3560165986827))"
wspt,0.2,318.43715686274516,63.48878617594529,"(np.float64(301.0123486258525), np.float64(335.8619650996378))"
wspt,0.3,425.7140392156863,113.05177226756965,"(np.float64(394.6864267622981), np.float64(456.7416516690745))"
atcs,0.1,293.3376666666667,46.1449834017379,"(np.float64(280.67295002455637), np.float64(306.002383308777))"
atcs,0.2,339.2298431372549,84.79255656586197,"(np.float64(315.9581108035879), np.float64(362.50157547092186))"
atcs,0.3,441.5264705882353,106.94410634950444,"(np.float64(412.17513695206), np.float64(470.8778042244107))"
msf,0.1,279.59686274509806,40.00877008408012,"(np.float64(268.61625989380025), np.float64(290.5774655963959))"
msf,0.2,297.4666274509804,84.58134586679517,"(np.float64(274.25286292785904), np.float64(320.6803919741018))"
msf,0.3,482.4564705882353,154.82135799667344,"(np.float64(439.9649908079924), np.float64(524.9479503684781))"
